restaurant,rx,ry,order,ox,oy,placement_time,ready_time
r28,9229,7943,o90,6674,6881,614,624
r28,9229,7943,o92,10842,7078,774,790
r28,9229,7943,o95,10015,6934,584,600
r28,9229,7943,o107,8443,9292,528,544
r28,9229,7943,o120,4402,7227,572,587
r28,9229,7943,o154,7896,9596,566,575
r28,9229,7943,o181,9537,4108,720,745
r28,9229,7943,o186,8447,9334,697,708
r28,9229,7943,o212,7240,5876,563,575
r28,9229,7943,o248,11189,8253,698,709
r28,9229,7943,o284,5744,7437,587,602
r28,9229,7943,o324,6660,7751,603,617
r28,9229,7943,o377,9473,8293,744,755
r28,9229,7943,o393,11486,6275,197,219
r28,9229,7943,o454,7518,7385,739,754
r28,9229,7943,o461,5470,8743,409,428
r28,9229,7943,o484,8806,6827,776,786
r28,9229,7943,o504,9417,4103,623,649
r29,8695,7993,o35,9074,8326,763,788
r29,8695,7993,o203,10958,8093,698,705
r30,9344,5383,o36,8682,6032,421,426
r30,9344,5383,o50,8218,4121,494,502
r30,9344,5383,o53,6248,5717,255,261
r30,9344,5383,o62,10326,4217,595,606
r30,9344,5383,o277,9040,5526,226,237
r30,9344,5383,o286,6849,7288,498,505
r30,9344,5383,o402,9314,4000,290,300
r30,9344,5383,o444,9789,3586,576,581
r30,9344,5383,o478,11134,7971,338,343
r30,9344,5383,o479,7872,6359,407,414
r31,4314,5415,o40,8214,7847,137,147
r31,4314,5415,o42,8971,5984,146,162
r31,4314,5415,o171,8717,5760,225,234
r31,4314,5415,o184,7006,6398,98,105
r31,4314,5415,o238,6471,6835,176,215
r31,4314,5415,o420,8522,4793,541,556
r31,4314,5415,o494,6375,5646,171,181
r32,9732,4546,o41,9038,4030,620,638
r32,9732,4546,o415,12281,2693,516,531
r33,9643,8947,o43,9861,8300,137,144
r34,4977,7640,o45,4775,7141,446,451
r34,4977,7640,o483,4603,7580,603,608
r35,9468,6260,o46,8877,7472,306,329
r36,10116,6102,o48,5913,7025,659,674
r36,10116,6102,o166,11141,6398,641,654
r37,9751,9370,o55,10243,8313,102,117
r37,9751,9370,o93,6105,6712,168,173
r37,9751,9370,o129,7522,8689,436,464
r37,9751,9370,o136,6682,6503,264,279
r37,9751,9370,o178,9544,10027,696,704
r37,9751,9370,o199,9219,7690,714,731
r37,9751,9370,o332,7242,6944,475,482
r37,9751,9370,o379,9578,8677,775,794
r38,3742,7274,o58,2654,7033,640,650
r39,5593,7438,o61,8192,9632,542,556
r39,5593,7438,o100,2866,5219,540,544
r39,5593,7438,o106,9501,9560,665,673
r39,5593,7438,o116,6288,8866,197,217
r39,5593,7438,o163,4653,4202,72,95
r39,5593,7438,o220,6812,3848,692,697
r39,5593,7438,o227,10149,8393,33,48
r39,5593,7438,o298,6194,6049,333,341
r39,5593,7438,o388,1677,6511,662,663
r39,5593,7438,o425,8781,10220,514,519
r39,5593,7438,o433,5623,6813,712,717
r39,5593,7438,o477,3267,7337,564,572
r40,10268,7110,o64,11365,7433,547,572
r40,10268,7110,o292,10146,5603,156,176
r40,10268,7110,o432,9593,7782,512,532
r40,10268,7110,o448,11408,6115,268,276
r41,5199,7276,o67,9673,7322,619,633
r41,5199,7276,o189,5149,7901,643,658
r41,5199,7276,o217,4729,5550,588,605
r42,9992,7662,o70,10487,4916,188,218
r42,9992,7662,o275,9349,7919,523,553
r42,9992,7662,o405,8880,8207,454,484
r42,9992,7662,o456,9181,8209,770,800
r43,6408,6176,o71,3138,6813,227,256
r43,6408,6176,o400,3710,4439,151,180
r44,9898,8996,o73,10037,8991,480,483
r44,9898,8996,o94,10010,9049,261,263
r44,9898,8996,o260,10394,8341,537,569
r44,9898,8996,o375,10075,9000,480,483
r45,9007,7310,o77,8564,5397,652,679
r45,9007,7310,o169,9059,7396,349,351
r45,9007,7310,o416,9337,8058,428,441
r45,9007,7310,o465,8332,8463,550,570
r46,4813,6882,o78,2991,6774,181,211
r47,9248,5647,o79,9013,8128,197,211
r47,9248,5647,o88,8580,4069,269,284
r48,8515,5221,o82,8882,5276,646,657
r49,9317,4084,o86,8857,8636,383,390
r49,9317,4084,o279,9063,8063,613,623
r50,7436,4131,o89,8428,4745,24,29
r50,7436,4131,o436,10544,6999,369,376
r51,7560,5368,o97,6121,9619,644,664
r51,7560,5368,o127,4925,7279,651,671
r51,7560,5368,o155,3819,7077,579,601
r51,7560,5368,o297,6008,5934,577,602
r51,7560,5368,o302,10820,7472,623,648
r52,7261,9470,o99,10217,8134,756,774
r52,7261,9470,o185,6477,9639,778,788
r52,7261,9470,o476,6534,9767,704,709
r53,7429,5176,o101,8658,4000,635,655
r53,7429,5176,o108,7014,7025,614,643
r53,7429,5176,o149,3591,4627,225,253
r53,7429,5176,o172,11235,6534,543,564
r53,7429,5176,o242,9220,6519,236,259
r53,7429,5176,o254,8502,3999,706,720
r53,7429,5176,o285,6716,3762,235,244
r53,7429,5176,o399,8263,6369,571,597
r54,8744,7935,o103,6485,5718,515,543
r54,8744,7935,o137,8855,8122,194,211
r54,8744,7935,o146,4417,5612,13,28
r54,8744,7935,o268,9995,3990,225,239
r54,8744,7935,o295,7848,8279,465,485
r54,8744,7935,o369,9896,8582,185,204
r54,8744,7935,o449,8995,8206,222,236
r55,8490,5504,o110,10847,7708,108,111
r55,8490,5504,o397,6517,7140,553,554
r55,8490,5504,o438,8510,4800,553,555
r56,8598,7442,o114,10322,7982,171,201
r56,8598,7442,o305,6419,9276,605,635
r57,8544,6640,o115,11263,8498,529,547
r58,8683,8346,o117,9736,6546,479,509
r58,8683,8346,o130,8858,7590,585,615
r58,8683,8346,o386,8512,8124,614,644
r58,8683,8346,o471,8987,8822,742,772
r58,8683,8346,o481,9238,7448,750,780
r59,9810,9345,o118,6420,8165,623,649
r59,9810,9345,o150,6934,8954,660,665
r59,9810,9345,o453,10277,8882,709,714
r60,9375,4291,o125,7948,4103,245,280
r60,9375,4291,o170,8888,6745,383,386
r60,9375,4291,o459,9754,4670,335,355
r61,10172,8812,o126,10875,7770,334,356
r62,10019,9054,o131,8507,4759,256,266
r62,10019,9054,o134,7151,9923,533,548
r62,10019,9054,o188,9162,6714,666,686
r62,10019,9054,o204,9948,5365,278,280
r62,10019,9054,o257,9061,6913,602,603
r62,10019,9054,o411,10061,8145,538,558
r63,10217,8905,o132,9261,8813,792,822
r63,10217,8905,o333,10266,9060,461,465
r63,10217,8905,o371,10079,9297,611,613
r64,4899,7401,o133,8505,8881,559,568
r65,7888,6270,o143,7780,6897,208,238
r66,9899,9214,o145,7587,7353,630,646
r66,9899,9214,o219,8584,9326,477,488
r66,9899,9214,o266,11255,7452,100,122
r66,9899,9214,o409,10511,9049,564,594
r66,9899,9214,o491,9753,8363,690,702
r67,10285,5733,o153,8861,6199,117,172
r67,10285,5733,o159,11001,7930,36,56
r67,10285,5733,o177,8598,6603,264,284
r67,10285,5733,o240,10122,7881,29,46
r67,10285,5733,o370,10980,6749,52,91
r67,10285,5733,o389,10195,6593,166,195
r67,10285,5733,o497,8743,8768,199,209
r68,8544,5582,o156,7631,5749,259,274
r68,8544,5582,o218,10148,6212,184,199
r69,8800,5014,o157,6639,7246,496,518
r69,8800,5014,o410,9134,7900,680,692
r70,8830,4806,o160,8688,4534,184,191
r71,9925,8987,o162,9272,8850,605,607
r72,9828,6980,o164,9356,5244,118,133
r73,8646,3465,o165,9333,3337,532,551
r74,6809,9454,o182,6511,9463,561,586
r75,9953,7515,o187,10337,9272,176,191
r75,9953,7515,o310,9726,8310,738,753
r75,9953,7515,o345,9756,8704,586,596
r75,9953,7515,o350,9555,6917,549,570
r76,6803,8115,o190,6977,5859,627,657
r76,6803,8115,o263,11012,7502,625,655
r77,6463,6140,o191,10299,5383,216,228
r77,6463,6140,o319,9614,7613,583,597
r77,6463,6140,o372,7737,6376,667,680
r77,6463,6140,o450,7623,9022,586,604
r77,6463,6140,o486,6429,5148,270,292
r78,5123,7297,o195,6353,7208,560,563
r78,5123,7297,o392,2189,7307,621,633
r79,7179,9428,o197,10631,8073,549,573
r80,8695,5338,o198,11228,7182,521,545
r80,8695,5338,o328,5997,6521,556,585
r81,8112,9075,o200,7267,10016,559,581
r81,8112,9075,o290,8379,9745,151,171
r81,8112,9075,o396,9350,7002,558,591
r81,8112,9075,o446,6389,8560,196,226
r82,8417,9085,o206,8671,9450,611,632
r83,6410,7992,o209,6274,8084,117,119
r84,4558,2716,o211,5574,5185,548,564
r84,4558,2716,o282,1568,3833,445,454
r84,4558,2716,o308,5613,3951,235,243
r84,4558,2716,o401,4414,5334,482,494
r84,4558,2716,o467,1938,3092,124,136
r85,7999,9315,o213,10558,8258,580,585
r85,7999,9315,o228,7497,6507,633,643
r86,9624,9942,o223,7800,9462,220,250
r87,8646,5437,o224,6405,7490,238,268
r87,8646,5437,o287,10548,6916,155,185
r88,7391,5232,o225,3385,6403,568,577
r89,8978,5713,o232,8553,7599,697,724
r89,8978,5713,o340,8855,5654,296,300
r89,8978,5713,o359,8863,5678,280,282
r89,8978,5713,o435,9064,3902,503,521
r90,9251,7779,o234,11166,4842,92,116
r90,9251,7779,o239,5908,7070,715,728
r90,9251,7779,o262,9551,7989,606,625
r90,9251,7779,o270,8277,8461,687,696
r90,9251,7779,o291,8065,5583,573,596
r90,9251,7779,o301,9974,9211,690,705
r90,9251,7779,o325,9260,8160,552,602
r90,9251,7779,o353,7386,5168,228,250
r90,9251,7779,o364,9914,4226,561,582
r90,9251,7779,o428,8875,5118,573,596
r90,9251,7779,o458,10401,9148,536,545
r90,9251,7779,o460,5460,7873,497,522
r90,9251,7779,o489,7613,8632,484,522
r91,9571,7412,o235,9721,6153,201,202
r91,9571,7412,o391,7573,9004,458,471
r91,9571,7412,o488,8089,9320,349,364
r92,10035,7399,o249,8173,9607,610,640
r92,10035,7399,o316,10113,9606,524,554
r92,10035,7399,o394,8949,8316,609,639
r92,10035,7399,o462,9667,7259,670,700
r93,5039,6912,o251,6270,7637,557,568
r93,5039,6912,o329,2887,6334,291,304
r93,5039,6912,o330,6349,6960,498,524
r93,5039,6912,o341,4062,6489,523,536
r93,5039,6912,o434,6937,9118,621,636
r93,5039,6912,o503,3023,4692,576,588
r94,8260,5524,o258,7817,8908,641,669
r94,8260,5524,o272,10919,8524,582,609
r94,8260,5524,o304,10031,7291,680,697
r95,7640,9088,o261,10481,8314,565,586
r95,7640,9088,o383,7805,9534,585,607
r96,4725,7501,o269,5843,9448,305,335
r97,8529,3197,o276,7241,2903,594,609
r98,7181,9292,o281,8039,8942,608,623
r98,7181,9292,o314,6207,5384,486,505
r99,6926,9539,o306,3960,8075,4,11
r99,6926,9539,o390,5656,7629,49,88
r99,6926,9539,o502,3813,8200,289,325
r100,9648,8121,o312,8162,6477,403,415
r100,9648,8121,o421,9470,8288,616,638
r100,9648,8121,o466,9526,8046,229,230
r101,11621,3010,o339,12487,1688,238,247
r101,11621,3010,o347,11318,7860,635,642
r101,11621,3010,o440,8004,1363,499,506
r102,4796,6916,o342,3336,7096,555,565
r102,4796,6916,o501,6531,4914,497,521
r103,4670,5366,o343,4563,8053,177,188
r104,8744,8186,o346,4755,7968,568,583
r105,7814,6354,o352,4305,7134,675,690
r105,7814,6354,o475,9203,7894,496,509
r105,7814,6354,o496,6901,6689,663,673
r106,8068,5322,o361,7210,3768,543,561
r107,8746,3178,o363,8665,3154,541,562
r108,9204,7834,o365,9834,5162,303,323
r109,4684,5309,o387,5392,6762,704,718
r110,10838,7960,o418,10184,8397,112,140
r111,9738,7858,o419,9778,7773,96,106
r112,8884,7405,o426,10229,7353,124,154
r113,796,6628,o430,953,4911,73,104
r114,7526,7726,o445,9454,7984,646,661
r115,9843,9303,o451,9671,8669,741,771
r116,4989,7474,o487,7585,7376,181,200
